customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type
GC81619,oregon,4626.801093,Yes,Basic,Master,1/16/11,Employed,F,79487,Suburban,Divorced,114,20.0,87,0.0,1,Personal Auto,Personal L1,Offer2,Branch,547.2,SUV,Medsize,A
DH99299,california,8717.049833,Yes,Basic,College,2/14/11,Employed,M,83846,Suburban,Married,74,22.0,94,3.0,2,Personal Auto,Personal L2,Offer2,Agent,355.2,Four-Door Car,Large,A
AX10148,california,2409.368488,No,Basic,Bachelor,2/1/11,Unemployed,F,0,Suburban,Married,66,3.0,97,0.0,1,Personal Auto,Personal L2,Offer4,Web,316.8,Four-Door Car,Medsize,A
BH86846,washington,20708.25881,No,Basic,High School or Below,2/14/11,Employed,M,92079,Rural,Married,65,12.0,68,1.0,2,Corporate Auto,Corporate L3,Offer4,Agent,114.798771,Four-Door Car,Medsize,A
GX51965,california,8564.768226,Yes,Basic,High School or Below,2/17/11,Employed,M,95697,Rural,Married,107,29.0,29,0.0,9,Personal Auto,Personal L1,Offer2,Agent,178.006524,Sports Car,Medsize,A
XO94933,california,3944.231185,No,Basic,Bachelor,1/22/11,Employed,F,33282,Rural,Married,100,24.0,66,1.0,1,Personal Auto,Personal L3,Offer2,Agent,207.510821,SUV,Small,A
WF75492,oregon,8360.14874,No,Basic,High School or Below,2/19/11,Employed,M,48521,Rural,Married,105,9.0,89,0.0,7,Personal Auto,Personal L3,Offer2,Branch,263.82569,Sports Car,Medsize,A
YL81070,oregon,14396.24222,No,Extended,High School or Below,2/5/11,Unemployed,M,0,Suburban,Single,205,14.0,63,0.0,4,Personal Auto,Personal L1,Offer1,Call Center,1476.0,Luxury Car,Medsize,A
SI88726,california,9100.787395,No,Basic,College,1/19/11,Employed,F,38898,Suburban,Divorced,117,26.0,68,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,561.6,SUV,Small,A
OF47250,california,8639.49502,No,Basic,Doctor,2/15/11,Employed,F,92374,Rural,Divorced,107,16.0,9,1.0,3,Personal Auto,Personal L2,Offer2,Call Center,220.018279,SUV,Medsize,A
FD55376,california,20230.9675,No,Basic,High School or Below,2/22/11,Employed,M,48448,Suburban,Married,74,24.0,11,1.0,2,Corporate Auto,Corporate L3,Offer3,Agent,355.2,Four-Door Car,Medsize,A
FE62142,oregon,4267.076892,No,Basic,Bachelor,2/26/11,Employed,F,43682,Rural,Married,107,12.0,73,0.0,1,Corporate Auto,Corporate L3,Offer3,Branch,148.003496,SUV,Medsize,A
XO42145,oregon,3933.813993,Yes,Basic,High School or Below,1/23/11,Employed,M,25927,Suburban,Single,103,6.0,20,0.0,1,Personal Auto,Personal L1,Offer2,Web,674.973614,SUV,Medsize,A
ZZ62245,oregon,6612.220871,No,Extended,High School or Below,1/31/11,Unemployed,F,0,Suburban,Single,97,31.0,34,2.0,9,Personal Auto,Personal L2,Offer1,Web,669.399277,Four-Door Car,Medsize,A
NK91656,oregon,2913.323811,No,Extended,Master,1/3/11,Disabled,M,20075,Suburban,Divorced,79,7.0,2,1.0,1,Personal Auto,Personal L3,Offer1,Web,483.731784,Two-Door Car,Medsize,A
DU39756,nevada,4170.687348,Yes,Basic,Master,1/17/11,Employed,F,29462,Suburban,Single,107,28.0,23,1.0,1,Corporate Auto,Corporate L2,Offer2,Branch,513.6,SUV,Large,A
KI25980,washington,14722.22122,No,Extended,Master,2/1/11,Employed,M,43982,Suburban,Divorced,126,20.0,68,1.0,2,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Small,A
GQ21970,nevada,24108.30057,No,Basic,Bachelor,1/28/11,Disabled,F,17257,Suburban,Single,70,1.0,88,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,551.132139,Four-Door Car,Small,A
XN42396,california,7540.584824,No,Basic,Bachelor,1/20/11,Employed,M,29697,Rural,Married,64,6.0,43,0.0,2,Personal Auto,Personal L2,Offer3,Agent,147.128736,Four-Door Car,Medsize,A
KK95092,arizona,7605.637524,No,Basic,Bachelor,1/29/11,Employed,M,55281,Suburban,Married,192,22.0,68,1.0,1,Personal Auto,Personal L3,Offer1,Agent,921.6,Luxury SUV,Medsize,A
BW43011,california,3834.210713,No,Basic,High School or Below,1/22/11,Unemployed,M,0,Suburban,Single,112,13.0,13,0.0,1,Personal Auto,Personal L2,Offer1,Agent,806.4,SUV,Medsize,A
XC14741,california,2939.939038,No,Basic,High School or Below,2/26/11,Employed,M,97735,Urban,Divorced,73,24.0,26,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,188.667196,Four-Door Car,Medsize,A
SX29898,california,9111.75642,No,Basic,Bachelor,2/9/11,Employed,F,54751,Suburban,Married,114,6.0,50,0.0,3,Personal Auto,Personal L3,Offer3,Agent,721.241935,SUV,Medsize,A
FG24850,oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Personal Auto,Personal L2,Offer1,Agent,312.0,Four-Door Car,Small,A
XB77333,oregon,13197.92893,Yes,Basic,College,1/27/11,Unemployed,F,0,Suburban,Single,68,19.0,2,3.0,2,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,Large,A
GH49378,california,5059.325681,No,Basic,Bachelor,2/18/11,Employed,F,67371,Rural,Married,63,25.0,14,0.0,3,Personal Auto,Personal L3,Offer2,Web,86.599774,Four-Door Car,Medsize,A
RY92647,california,10506.77172,No,Extended,Bachelor,1/13/11,Unemployed,F,0,Suburban,Married,92,15.0,36,0.0,2,Personal Auto,Personal L3,Offer1,Branch,546.524896,Four-Door Car,Medsize,A
OJ94107,arizona,5619.068508,No,Premium,Master,2/4/11,Employed,M,50335,Urban,Married,140,9.0,54,0.0,1,Personal Auto,Personal L2,Offer1,Call Center,456.52385,SUV,Medsize,A
UQ87917,oregon,12941.73353,No,Basic,High School or Below,1/24/11,Employed,M,77060,Urban,Married,106,23.0,90,0.0,2,Personal Auto,Personal L2,Offer1,Branch,468.566133,SUV,Medsize,A
UR73910,california,2602.24525,No,Basic,College,1/25/11,Employed,M,38166,Urban,Married,67,25.0,5,1.0,1,Corporate Auto,Corporate L2,Offer4,Agent,236.842746,Four-Door Car,Medsize,A
PD32943,oregon,4526.126785,No,Basic,Bachelor,1/6/11,Unemployed,M,0,Suburban,Married,64,32.0,89,1.0,3,Personal Auto,Personal L3,Offer2,Branch,307.2,Four-Door Car,Small,A
XE18554,california,10436.57466,No,Extended,Bachelor,2/6/11,Medical Leave,F,24177,Suburban,Married,92,4.0,37,1.0,2,Personal Auto,Personal L2,Offer1,Agent,441.6,Four-Door Car,Medsize,A
FH69597,california,7172.070153,No,Basic,High School or Below,1/13/11,Employed,F,73836,Urban,Married,182,8.0,35,3.0,1,Personal Auto,Personal L3,Offer1,Branch,553.385695,Luxury Car,Medsize,A
XK87182,oregon,4502.207001,No,Premium,College,1/25/11,Employed,F,46402,Urban,Married,113,7.0,2,0.0,1,Personal Auto,Personal L3,Offer1,Agent,476.385575,Four-Door Car,Medsize,A
BL42392,arizona,4826.831451,No,Basic,Doctor,2/20/11,Medical Leave,M,18779,Urban,Married,63,10.0,65,0.0,4,Personal Auto,Personal L3,Offer3,Agent,215.255721,Four-Door Car,Large,A
ZD65365,oregon,2894.583582,No,Basic,College,2/13/11,Employed,F,28204,Suburban,Married,73,6.0,12,0.0,1,Personal Auto,Personal L3,Offer2,Branch,486.987555,Four-Door Car,Medsize,A
FH65253,oregon,23740.12142,No,Extended,High School or Below,1/3/11,Employed,M,28025,Suburban,Married,87,28.0,94,0.0,2,Personal Auto,Personal L2,Offer2,Branch,611.40108,Four-Door Car,Medsize,A
AJ32539,oregon,2829.312319,No,Basic,Bachelor,2/27/11,Employed,M,25860,Suburban,Married,72,12.0,46,0.0,1,Personal Auto,Personal L3,Offer2,Web,345.6,Four-Door Car,Medsize,A
GC17585,arizona,13473.18567,No,Basic,Bachelor,2/16/11,Employed,M,25302,Suburban,Married,70,13.0,16,1.0,2,Personal Auto,Personal L1,Offer2,Branch,336.0,Four-Door Car,Medsize,A
FQ51281,oregon,8170.621997,No,Basic,Bachelor,1/27/11,Employed,F,95241,Rural,Married,68,3.0,12,1.0,2,Personal Auto,Personal L3,Offer2,Branch,87.803087,Four-Door Car,Large,A
SM39580,arizona,3187.351993,No,Extended,Doctor,2/9/11,Unemployed,M,0,Suburban,Married,85,27.0,29,0.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,595.160486,Two-Door Car,Large,A
LL92275,california,5028.739297,No,Basic,College,1/22/11,Unemployed,F,0,Urban,Married,67,21.0,60,0.0,5,Personal Auto,Personal L3,Offer4,Web,216.196521,Four-Door Car,Medsize,A
BC47264,california,7684.887717,No,Extended,College,2/5/11,Employed,F,62192,Rural,Single,98,30.0,28,0.0,5,Special Auto,Special L3,Offer3,Agent,243.292609,Two-Door Car,Medsize,A
ZD72991,california,4899.977003,No,Extended,Doctor,1/25/11,Employed,M,76594,Suburban,Married,122,26.0,9,1.0,1,Personal Auto,Personal L3,Offer1,Agent,832.453791,SUV,Medsize,A
BV98316,arizona,6520.824777,No,Extended,Bachelor,2/4/11,Employed,F,93721,Suburban,Married,80,22.0,62,0.0,6,Personal Auto,Personal L1,Offer2,Agent,489.594642,Four-Door Car,Large,A
LO99872,oregon,5497.659883,No,Basic,College,2/22/11,Employed,M,28128,Suburban,Married,70,6.0,52,0.0,4,Personal Auto,Personal L3,Offer3,Agent,336.0,Two-Door Car,Medsize,A
ST91578,california,6466.304259,No,Extended,Master,1/19/11,Unemployed,M,0,Rural,Divorced,90,3.0,76,0.0,7,Personal Auto,Personal L3,Offer3,Call Center,144.776935,Four-Door Car,Medsize,A
IS85460,california,5956.545724,No,Basic,High School or Below,1/10/11,Employed,F,48993,Suburban,Married,74,6.0,29,0.0,4,Personal Auto,Personal L1,Offer2,Call Center,810.461707,Two-Door Car,Medsize,A
YB57848,oregon,9928.986032,No,Extended,Doctor,1/2/11,Employed,F,75716,Rural,Single,247,2.0,32,0.0,1,Personal Auto,Personal L3,Offer1,Branch,562.088587,Luxury Car,Medsize,A
FK28721,oregon,7714.650119,No,Basic,High School or Below,1/8/11,Unemployed,M,0,Suburban,Single,74,33.0,24,0.0,2,Corporate Auto,Corporate L2,Offer3,Agent,532.8,Two-Door Car,Medsize,A
YZ19736,arizona,2580.849899,Yes,Basic,College,2/9/11,Employed,M,46900,Suburban,Married,66,13.0,59,0.0,1,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,A
AG85127,oregon,8085.448545,No,Basic,Bachelor,1/14/11,Employed,M,61409,Urban,Married,68,30.0,80,0.0,2,Special Auto,Special L3,Offer3,Web,264.040157,Four-Door Car,Medsize,A
CY18875,oregon,8390.122077,No,Extended,High School or Below,1/5/11,Unemployed,F,0,Suburban,Single,78,22.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,732.340362,Four-Door Car,Small,A
YF54705,nevada,7356.010439,No,Extended,College,2/24/11,Employed,M,36812,Urban,Married,92,23.0,98,1.0,4,Personal Auto,Personal L3,Offer1,Branch,392.695097,Two-Door Car,Medsize,A
OD18225,california,6631.665538,No,Extended,College,1/18/11,Employed,M,32918,Suburban,Married,84,33.0,69,0.0,3,Personal Auto,Personal L2,Offer3,Agent,403.2,Four-Door Car,Medsize,A
UK66803,oregon,4926.282836,No,Basic,Bachelor,1/9/11,Employed,F,49185,Rural,Married,61,11.0,92,0.0,8,Corporate Auto,Corporate L3,Offer3,Branch,126.950071,Two-Door Car,Medsize,A
GN93462,california,6496.197101,No,Extended,Bachelor,1/22/11,Employed,M,89285,Rural,Married,81,25.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,109.032565,Four-Door Car,Medsize,A
ID45268,california,6006.963446,No,Extended,College,1/8/11,Unemployed,F,0,Suburban,Married,80,5.0,10,0.0,8,Personal Auto,Personal L3,Offer2,Web,488.910614,Four-Door Car,Medsize,A
RO32883,oregon,7804.597655,No,Premium,Bachelor,1/20/11,Unemployed,F,0,Rural,Married,117,18.0,84,4.0,8,Personal Auto,Personal L3,Offer1,Branch,91.055318,Four-Door Car,Medsize,A
VO29645,oregon,5169.49937,Yes,Basic,High School or Below,2/26/11,Medical Leave,M,12430,Suburban,Single,73,22.0,13,0.0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize,A
NU42684,nevada,3394.720301,No,Extended,College,1/28/11,Employed,F,83431,Suburban,Married,84,13.0,33,0.0,1,Personal Auto,Personal L3,Offer2,Web,403.2,Four-Door Car,Medsize,A
PP62909,oregon,12168.64405,No,Basic,Master,2/22/11,Unemployed,F,0,Rural,Single,109,28.0,96,0.0,2,Special Auto,Special L2,Offer1,Agent,30.989755,Sports Car,Medsize,A
GA50461,oregon,4726.869327,Yes,Extended,Bachelor,1/10/11,Medical Leave,F,13037,Suburban,Married,124,28.0,49,0.0,1,Personal Auto,Personal L1,Offer2,Agent,839.348464,SUV,Small,A
KM58067,california,4526.94696,No,Basic,High School or Below,2/9/11,Employed,F,92921,Rural,Married,112,35.0,49,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,109.28708,SUV,Medsize,A
KH81863,oregon,4605.036646,Yes,Basic,College,1/28/11,Medical Leave,F,22571,Suburban,Single,63,29.0,51,0.0,9,Corporate Auto,Corporate L3,Offer2,Web,302.4,Four-Door Car,Large,A
OY70124,washington,12741.84754,Yes,Basic,Bachelor,1/7/11,Employed,F,73054,Urban,Married,106,34.0,36,1.0,2,Personal Auto,Personal L3,Offer1,Branch,419.365958,SUV,Medsize,A
AH22694,california,5850.451386,No,Basic,Doctor,1/24/11,Employed,M,24317,Suburban,Married,73,2.0,35,1.0,3,Corporate Auto,Corporate L1,Offer1,Call Center,350.4,Four-Door Car,Medsize,A
SN58128,oregon,10396.53186,No,Extended,College,2/18/11,Employed,F,34948,Urban,Married,130,20.0,15,0.0,7,Personal Auto,Personal L1,Offer4,Branch,443.786437,SUV,Small,A
NM88660,nevada,3585.884123,No,Extended,Master,1/10/11,Employed,M,49080,Rural,Single,91,14.0,68,0.0,1,Corporate Auto,Corporate L2,Offer1,Agent,25.299,Four-Door Car,Small,A
JM47657,oregon,2491.257604,Yes,Basic,High School or Below,2/12/11,Medical Leave,F,25965,Suburban,Divorced,65,23.0,27,0.0,1,Personal Auto,Personal L3,Offer1,Agent,329.206567,Four-Door Car,Medsize,A
IS95117,arizona,5874.820212,No,Basic,College,1/25/11,Employed,F,35301,Rural,Married,74,23.0,68,0.0,7,Personal Auto,Personal L3,Offer1,Agent,128.643975,Four-Door Car,Medsize,A
KB58189,oregon,2550.659053,No,Basic,College,2/10/11,Employed,F,69230,Urban,Married,63,31.0,13,0.0,1,Special Auto,Special L2,Offer3,Agent,283.241868,Four-Door Car,Medsize,A
XB35510,california,8704.278179,No,Basic,Bachelor,1/5/11,Employed,M,38072,Rural,Married,113,10.0,36,1.0,3,Personal Auto,Personal L3,Offer1,Branch,151.055863,SUV,Medsize,A
VH45094,arizona,7286.789075,No,Basic,High School or Below,2/13/11,Employed,M,65870,Urban,Married,61,21.0,40,1.0,2,Personal Auto,Personal L2,Offer2,Branch,202.847644,Four-Door Car,Large,A
QK12068,oregon,5293.717318,No,Basic,High School or Below,1/17/11,Unemployed,F,0,Suburban,Single,74,14.0,43,0.0,4,Personal Auto,Personal L3,Offer4,Agent,712.126586,Four-Door Car,Small,A
QR72180,california,3241.314176,No,Extended,Doctor,1/20/11,Employed,F,66889,Urban,Married,80,6.0,16,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,294.319428,Four-Door Car,Small,A
US90854,oregon,11177.7521,No,Basic,Bachelor,1/16/11,Employed,M,20742,Urban,Single,100,17.0,52,0.0,2,Personal Auto,Personal L2,Offer2,Web,455.851876,SUV,Medsize,A
XO90806,california,8406.763319,No,Basic,College,2/24/11,Employed,F,67128,Urban,Married,105,33.0,90,0.0,4,Personal Auto,Personal L3,Offer1,Agent,339.017729,SUV,Small,A
CI51999,arizona,8161.1704,No,Basic,College,1/5/11,Medical Leave,M,12266,Suburban,Married,114,25.0,36,1.0,3,Personal Auto,Personal L1,Offer1,Branch,732.050007,SUV,Medsize,A
QX22025,california,12148.94098,No,Basic,High School or Below,1/5/11,Employed,F,37025,Urban,Married,101,15.0,36,0.0,2,Corporate Auto,Corporate L1,Offer3,Branch,427.243803,SUV,Medsize,A
HF15113,oregon,4883.551402,No,Basic,Bachelor,1/2/11,Disabled,F,19096,Suburban,Divorced,64,17.0,5,0.0,3,Personal Auto,Personal L3,Offer1,Web,374.8996,Two-Door Car,Medsize,A
JO90877,washington,2869.997625,No,Basic,Bachelor,2/18/11,Employed,F,70974,Suburban,Married,71,15.0,0,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Large,A
II32272,california,25390.54546,No,Extended,High School or Below,2/17/11,Disabled,F,19359,Suburban,Married,129,0.0,62,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,928.8,Sports Car,Medsize,A
EM53324,oregon,7343.52792,No,Basic,College,2/15/11,Unemployed,F,0,Suburban,Single,72,26.0,12,3.0,2,Personal Auto,Personal L3,Offer1,Branch,345.6,Four-Door Car,Medsize,A
NC58480,nevada,4838.208972,No,Basic,Bachelor,1/23/11,Employed,F,73769,Urban,Married,61,24.0,95,2.0,3,Personal Auto,Personal L3,Offer4,Web,239.540223,Four-Door Car,Medsize,A
EK87864,arizona,2821.947219,No,Basic,College,1/6/11,Employed,F,38977,Rural,Married,70,27.0,22,0.0,1,Special Auto,Special L2,Offer1,Agent,139.489926,Four-Door Car,Medsize,A
QY46560,arizona,2152.081322,No,Basic,Bachelor,2/26/11,Unemployed,M,0,Suburban,Single,65,8.0,50,0.0,1,Personal Auto,Personal L2,Offer2,Agent,460.379966,Two-Door Car,Medsize,A
EJ96266,california,2965.71995,No,Basic,College,2/11/11,Employed,F,26472,Suburban,Married,74,22.0,31,0.0,1,Personal Auto,Personal L1,Offer2,Branch,355.2,Four-Door Car,Medsize,A
OW84864,california,6081.048248,No,Extended,College,1/31/11,Unemployed,F,0,Suburban,Single,82,26.0,33,0.0,3,Personal Auto,Personal L3,Offer2,Web,393.6,Four-Door Car,Medsize,A
DA69469,oregon,26843.12452,No,Extended,College,1/16/11,Employed,F,36068,Rural,Married,97,0.0,10,0.0,2,Personal Auto,Personal L3,Offer2,Branch,113.367765,Two-Door Car,Medsize,A
MU57098,oregon,5678.050167,Yes,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,76,8.0,44,0.0,3,Personal Auto,Personal L1,Offer2,Agent,364.8,Four-Door Car,Small,A
NL39999,washington,2624.896858,No,Basic,High School or Below,1/27/11,Medical Leave,M,18129,Suburban,Divorced,71,23.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,340.8,Two-Door Car,Large,A
VR14881,oregon,8489.843197,No,Extended,Bachelor,1/27/11,Unemployed,M,0,Suburban,Single,130,3.0,46,0.0,3,Personal Auto,Personal L3,Offer2,Agent,624.0,Sports Car,Medsize,A
OA92714,california,5055.902381,No,Basic,Bachelor,1/10/11,Employed,F,88989,Urban,Married,63,19.0,28,1.0,3,Personal Auto,Personal L3,Offer3,Call Center,232.745161,Four-Door Car,Small,A
UA50747,washington,25997.74996,No,Basic,High School or Below,2/20/11,Employed,F,62262,Urban,Married,72,17.0,2,0.0,2,Corporate Auto,Corporate L3,Offer4,Branch,193.505325,Four-Door Car,Small,A
KG40352,oregon,5447.201066,No,Basic,College,2/18/11,Employed,F,68815,Rural,Married,68,29.0,37,0.0,3,Personal Auto,Personal L2,Offer4,Branch,114.743385,Four-Door Car,Small,A
GQ26671,california,2241.108638,No,Basic,High School or Below,2/6/11,Unemployed,F,0,Suburban,Single,63,5.0,7,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,453.6,Two-Door Car,Medsize,A
UE10014,arizona,12866.89474,No,Basic,High School or Below,2/8/11,Unemployed,M,0,Suburban,Single,189,24.0,93,0.0,6,Personal Auto,Personal L3,Offer1,Agent,1415.579302,Luxury Car,Small,A
UC69263,california,8336.08382,No,Basic,Bachelor,2/16/11,Unemployed,M,0,Suburban,Single,67,10.0,50,2.0,2,Personal Auto,Personal L3,Offer3,Agent,445.265108,Two-Door Car,Medsize,A
NE22677,california,13080.78528,No,Extended,College,2/14/11,Unemployed,M,0,Suburban,Divorced,124,12.0,58,0.0,2,Special Auto,Special L2,Offer1,Web,595.2,SUV,Small,A
CF26052,arizona,8436.350708,No,Basic,Bachelor,1/16/11,Employed,F,49182,Rural,Married,70,6.0,86,0.0,2,Personal Auto,Personal L3,Offer1,Web,165.410515,Two-Door Car,Medsize,A
YI83073,california,4250.282624,Yes,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,61,17.0,1,1.0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Small,A
YY11432,oregon,16515.00927,No,Extended,High School or Below,2/1/11,Employed,F,51725,Rural,Married,138,9.0,16,1.0,2,Personal Auto,Personal L3,Offer1,Agent,159.004261,SUV,Medsize,A
UA58104,california,7933.820656,No,Basic,College,1/13/11,Employed,F,76505,Rural,Married,65,32.0,89,0.0,2,Personal Auto,Personal L3,Offer1,Branch,144.051716,Four-Door Car,Medsize,A
VY23882,arizona,5548.031892,Yes,Basic,Bachelor,1/13/11,Employed,M,67798,Suburban,Divorced,69,1.0,78,0.0,9,Personal Auto,Personal L1,Offer1,Agent,331.2,Four-Door Car,Medsize,A
RN66968,california,5332.615013,No,Basic,High School or Below,1/3/11,Employed,M,74837,Suburban,Married,66,9.0,18,0.0,7,Personal Auto,Personal L3,Offer2,Agent,376.502488,Four-Door Car,Large,A
OW83209,nevada,8341.929905,No,Basic,Bachelor,2/18/11,Employed,M,30344,Urban,Divorced,107,29.0,79,0.0,9,Personal Auto,Personal L3,Offer1,Branch,342.832065,SUV,Medsize,A
NX71501,california,5936.344043,No,Basic,Doctor,1/3/11,Employed,F,42889,Rural,Married,74,31.0,18,0.0,7,Personal Auto,Personal L1,Offer1,Agent,177.321283,Four-Door Car,Small,A
MX76292,california,7706.036295,No,Basic,Doctor,2/13/11,Employed,F,48019,Rural,Married,64,15.0,94,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,137.665031,Four-Door Car,Medsize,A
KQ49890,oregon,5924.667902,No,Basic,High School or Below,1/18/11,Employed,M,78387,Urban,Married,74,5.0,1,0.0,6,Corporate Auto,Corporate L3,Offer2,Agent,204.090644,Four-Door Car,Medsize,A
AC73173,california,3694.647081,No,Basic,Bachelor,2/20/11,Unemployed,M,0,Suburban,Married,102,13.0,84,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,610.617285,SUV,Large,A
HC76653,oregon,2435.689035,No,Basic,College,1/7/11,Employed,M,32931,Suburban,Married,62,16.0,45,0.0,1,Personal Auto,Personal L2,Offer2,Agent,297.6,Four-Door Car,Medsize,A
QJ22615,arizona,4881.299084,No,Basic,Master,2/21/11,Employed,F,37998,Suburban,Married,61,26.0,27,0.0,7,Special Auto,Special L3,Offer2,Call Center,292.8,Four-Door Car,Medsize,A
TC78849,oregon,2497.45507,No,Basic,Bachelor,2/12/11,Employed,M,24825,Rural,Married,64,34.0,44,0.0,1,Personal Auto,Personal L3,Offer2,Branch,155.938593,Two-Door Car,Medsize,A
XH20787,california,2549.080421,No,Basic,College,2/18/11,Employed,M,52980,Urban,Married,64,33.0,93,0.0,1,Personal Auto,Personal L2,Offer1,Branch,191.945693,Four-Door Car,Large,A
ZR86524,oregon,5903.612641,No,Basic,College,1/9/11,Employed,F,55393,Rural,Married,74,15.0,6,1.0,3,Corporate Auto,Corporate L2,Offer1,Call Center,2.173552,Four-Door Car,Medsize,A
SQ70457,oregon,23331.829,No,Basic,Bachelor,1/2/11,Employed,M,44719,Suburban,Single,66,6.0,55,0.0,2,Personal Auto,Personal L2,Offer2,Branch,316.8,Four-Door Car,Medsize,A
YN61339,oregon,4330.38602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107,9.0,18,0.0,1,Personal Auto,Personal L1,Offer2,Branch,513.6,Four-Door Car,Medsize,A
UO40192,nevada,5544.909083,No,Basic,High School or Below,2/5/11,Employed,M,79619,Urban,Married,71,3.0,34,3.0,6,Personal Auto,Personal L3,Offer2,Web,280.89705,Four-Door Car,Large,A
WG15595,california,2759.618207,No,Basic,College,1/9/11,Employed,M,64388,Suburban,Married,69,12.0,51,0.0,1,Personal Auto,Personal L3,Offer1,Agent,331.2,Two-Door Car,Small,A
KV99077,nevada,5157.053124,No,Basic,College,2/8/11,Employed,M,43906,Suburban,Divorced,65,6.0,53,0.0,6,Personal Auto,Personal L1,Offer1,Web,468.0,Two-Door Car,Small,A
QF29828,arizona,3208.919835,No,Extended,Master,2/8/11,Employed,F,40135,Rural,Married,80,29.0,70,0.0,1,Personal Auto,Personal L2,Offer1,Agent,78.008093,Four-Door Car,Medsize,A
FG46258,washington,6921.973993,No,Extended,College,2/4/11,Medical Leave,F,16483,Urban,Married,90,14.0,68,0.0,9,Corporate Auto,Corporate L2,Offer3,Web,320.519977,Two-Door Car,Medsize,A
NM95102,oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6.0,48,0.0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small,A
SL98898,nevada,9048.983447,Yes,Basic,High School or Below,1/24/11,Unemployed,M,0,Suburban,Married,119,9.0,8,0.0,3,Personal Auto,Personal L1,Offer2,Web,571.2,Sports Car,Medsize,A
FZ19620,oregon,9672.701942,No,Extended,High School or Below,2/23/11,Unemployed,M,0,Suburban,Single,96,5.0,27,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,1120.677126,Four-Door Car,Medsize,A
OT85112,washington,3403.919366,No,Extended,College,2/24/11,Employed,M,38460,Rural,Divorced,88,15.0,1,1.0,1,Personal Auto,Personal L3,Offer1,Agent,91.55098,Four-Door Car,Medsize,A
AS48176,oregon,12168.74492,Yes,Basic,Bachelor,2/5/11,Retired,M,14973,Suburban,Divorced,115,2.0,75,0.0,2,Personal Auto,Personal L3,Offer1,Branch,828.0,SUV,Medsize,A
WX87964,washington,4935.189986,No,Basic,High School or Below,2/15/11,Employed,M,29560,Suburban,Married,62,21.0,89,0.0,7,Personal Auto,Personal L3,Offer1,Agent,297.6,Four-Door Car,Medsize,A
QY41527,arizona,4175.945269,No,Basic,Bachelor,2/21/11,Employed,M,23060,Suburban,Married,109,13.0,25,3.0,1,Corporate Auto,Corporate L3,Offer4,Agent,731.350857,SUV,Medsize,A
JX14364,oregon,13235.54436,No,Basic,College,2/24/11,Employed,M,39778,Suburban,Married,112,23.0,49,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,806.4,SUV,Medsize,A
UK25655,oregon,3435.25008,No,Extended,Bachelor,1/14/11,Employed,F,64348,Rural,Married,86,25.0,18,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,212.391975,Two-Door Car,Medsize,A
OK86731,oregon,4510.194071,No,Basic,College,2/25/11,Employed,M,44230,Suburban,Married,114,2.0,45,0.0,1,Personal Auto,Personal L3,Offer4,Web,738.222494,Sports Car,Medsize,A
VC68509,oregon,9486.596417,No,Extended,Bachelor,1/20/11,Employed,F,42240,Rural,Married,79,25.0,10,0.0,2,Personal Auto,Personal L3,Offer3,Agent,46.386546,Four-Door Car,Medsize,A
